idx,feature,sym,code,category
0,age000,age,000,null
1,sex000,sex,000,null
2,aay000,aay,000,null
3,cto001,cto,001,Accessory - Bag
4,cto002,cto,002,Accessory - Other Accessory
5,cto003,cto,003,Accessory - Suitcase
6,cto004,cto,004,Accessory - Watch & Jewely & Glasses
7,cto005,cto,005,Apparel - Baby Fashion
8,cto006,cto,006,Apparel - Casual Clothes
9,cto007,cto,007,Apparel - Men Clothes
10,cto008,cto,008,Apparel - Sports Clothes
11,cto009,cto,009,Apparel - Underwear & Homewear
12,cto010,cto,010,Apparel - Women Clothes
13,cto011,cto,011,Baby Convenience - Baby Home
14,cto012,cto,012,Baby Convenience - Feeding Accessories
15,cto013,cto,013,Baby Convenience - Nursery & Safety
16,cto014,cto,014,Baby Convenience - Strollers & Carseats
17,cto015,cto,015,Baby Core - Diapering
18,cto016,cto,016,Baby Core - Formula
19,cto017,cto,017,Baby Core - Wipes
20,cto018,cto,018,Baby Necessaries - Baby Detergent
21,cto019,cto,019,Baby Necessaries - Baby Foods
22,cto020,cto,020,Baby Necessaries - Mom & Baby Care
23,cto021,cto,021,Beauty - Fragrance
24,cto022,cto,022,Beauty - Makeup
25,cto023,cto,023,Beauty - Nailcare
26,cto024,cto,024,Beauty - Skin Care
27,cto025,cto,025,Beauty - Tools & Accessories
28,cto026,cto,026,Beverages - Drinks
29,cto027,cto,027,Beverages - Water
30,cto028,cto,028,Books - Children Books
31,cto029,cto,029,Books - Education Books
32,cto030,cto,030,Books - Foreign Books
33,cto031,cto,031,Books - General Books
34,cto032,cto,032,Books - Other Media
35,cto033,cto,033,Car Accessories - Car Charger & Others
36,cto034,cto,034,Car Accessories - Car Electronics
37,cto035,cto,035,Car Accessories - Car Interior & Exterior
38,cto036,cto,036,Car Accessories - Car Tools & DIY
39,cto037,cto,037,Computer & Digital - Cell Phone & Acc.
40,cto038,cto,038,Computer & Digital - Computer
41,cto039,cto,039,Computer & Digital - Digital
42,cto040,cto,040,Computer & Digital - PC & Video Game
43,cto041,cto,041,Domestic Travel - Accommodation_Boutique
44,cto042,cto,042,Domestic Travel - Accommodation_Hotel
45,cto043,cto,043,Domestic Travel - Accommodation_Instant Pension
46,cto044,cto,044,Domestic Travel - Accommodation_Pension
47,cto045,cto,045,Domestic Travel - Accommodation_Resort
48,cto046,cto,046,Domestic Travel - Accommodation_Sub Pension
49,cto047,cto,047,Domestic Travel - Air/Transportation
50,cto048,cto,048,Domestic Travel - Car Rental
51,cto049,cto,049,Domestic Travel - Package
52,cto050,cto,050,Domestic Travel - Ticket/Pass
53,cto051,cto,051,Electronics - AV
54,cto052,cto,052,Electronics - Beauty Appliance
55,cto053,cto,053,Electronics - Health Appliance
56,cto054,cto,054,Electronics - Living Appliance
57,cto055,cto,055,Electronics - Seasonal Appliance
58,cto056,cto,056,"Fresh, Cold & Frozen - Cold & Frozen Food"
59,cto057,cto,057,"Fresh, Cold & Frozen - Fresh"
60,cto058,cto,058,Home - Bath Acc. & Household Cleaning
61,cto059,cto,059,Home - Bedding & Handcraft & Curtain
62,cto060,cto,060,Home - Furniture & Storage
63,cto061,cto,061,Home - Home Deco
64,cto062,cto,062,Home - Tools & Home Improvement
65,cto063,cto,063,Household - Detergent
66,cto064,cto,064,Household - Tissue
67,cto065,cto,065,Kitchen - Cookware
68,cto066,cto,066,Kitchen - Food Storage
69,cto067,cto,067,Kitchen - Kitchen Accessories
70,cto068,cto,068,Kitchen - Kitchen Appliance
71,cto069,cto,069,Kitchen - Kitchen Disposable
72,cto070,cto,070,Kitchen - Tableware
73,cto071,cto,071,Kitchen - Tools & Gadgets
74,cto072,cto,072,Meal & Healthy - Healthy food
75,cto073,cto,073,Meal & Healthy - Meal Essentials
76,cto074,cto,074,Overseas Travel - Accommodation
77,cto075,cto,075,Overseas Travel - Air/Transportation
78,cto076,cto,076,Overseas Travel - Car Rental
79,cto077,cto,077,Overseas Travel - Package
80,cto078,cto,078,Overseas Travel - Ticket/Pass
81,cto079,cto,079,Personal Care - Adult Goods
82,cto080,cto,080,Personal Care - Body Care
83,cto081,cto,081,Personal Care - Digital Scale
84,cto082,cto,082,Personal Care - Electric Toothbrush
85,cto083,cto,083,Personal Care - Hair Care
86,cto084,cto,084,Personal Care - Health Care
87,cto085,cto,085,Personal Care - Hygienic Care
88,cto086,cto,086,Personal Care - Oral Care
89,cto087,cto,087,Pet - Cat Food
90,cto088,cto,088,Pet - Cat Supply
91,cto089,cto,089,Pet - Dog Food
92,cto090,cto,090,Pet - Dog Supply
93,cto091,cto,091,Pet - Small Animals
94,cto092,cto,092,Shoes - Fashion Shoes
95,cto093,cto,093,Shoes - Sports Shoes
96,cto094,cto,094,"Snacks, Coffee & Tea - Coffee & Tea"
97,cto095,cto,095,"Snacks, Coffee & Tea - Snacks"
98,cto096,cto,096,Sporting Goods - Exercise & Fitness
