member_srl,gpo015,dsl015,sex000,dpo015,cto015,gpq015,dpq015,dsl001,cto016,dpo016,dpo087,gpq017,dpq088
108918458,88955.0,43.0,1.0,73.0,4.0,32347.27,30.42,0.0,4.0,73.0,121.67,13366.67,91.25
1173638,88232.0,137.0,1.0,121.67,2.0,44116.0,73.0,0.0,0.0,0.0,121.67,0.0,73.0
70010031,89044.0,123.0,1.0,60.83,5.0,37101.67,28.08,0.0,0.0,0.0,91.25,9111.43,73.0
42863471,93703.33,42.0,1.0,91.25,3.0,56222.0,60.83,0.0,1.0,182.5,91.25,18010.0,73.0
15574399,87380.0,58.0,1.0,121.67,2.0,24965.71,45.63,58.0,0.0,0.0,121.67,13460.0,33.18
9723813,85125.0,40.0,1.0,121.67,2.0,42562.5,73.0,331.0,0.0,0.0,91.25,12900.0,40.56
112708180,91610.0,85.0,1.0,121.67,2.0,45805.0,73.0,0.0,0.0,0.0,182.5,17540.0,52.14
111463974,91346.67,122.0,1.0,91.25,3.0,27404.0,33.18,0.0,2.0,121.67,52.14,15237.5,60.83
12656608,96970.0,99.0,1.0,121.67,2.0,32323.33,52.14,0.0,1.0,182.5,121.67,0.0,40.56
1900965,92080.0,96.0,1.0,91.25,3.0,46040.0,52.14,0.0,0.0,0.0,182.5,16930.0,121.67
1088649,87140.0,80.0,1.0,121.67,2.0,29046.67,52.14,0.0,0.0,0.0,182.5,12870.0,91.25
596064,86902.86,39.0,1.0,45.63,7.0,43451.43,24.33,18.0,0.0,0.0,121.67,13202.73,45.63
8264038,87175.0,30.0,1.0,73.0,4.0,34870.0,33.18,0.0,0.0,0.0,121.67,0.0,60.83
53353066,91821.67,55.0,1.0,52.14,6.0,45910.83,28.08,0.0,2.0,121.67,182.5,14261.67,52.14
106108208,96095.0,21.0,1.0,121.67,2.0,48047.5,73.0,0.0,0.0,0.0,91.25,21900.0,73.0
104971905,83355.0,106.0,1.0,121.67,2.0,41677.5,73.0,0.0,0.0,0.0,60.83,18948.0,73.0
6913293,88360.0,69.0,1.0,182.5,1.0,29453.33,91.25,0.0,0.0,0.0,91.25,0.0,91.25
40736613,92896.25,27.0,1.0,40.56,8.0,43715.88,20.28,0.0,0.0,0.0,121.67,19950.0,73.0
8016175,90410.0,96.0,1.0,182.5,1.0,45205.0,121.67,0.0,0.0,0.0,73.0,16015.0,121.67
3685106,80680.0,67.0,1.0,121.67,2.0,40340.0,73.0,0.0,0.0,0.0,121.67,11400.0,73.0
101517586,82160.0,81.0,1.0,182.5,1.0,41080.0,121.67,152.0,1.0,182.5,121.67,10355.0,24.33
110820306,88458.33,64.0,1.0,52.14,6.0,40826.92,26.07,274.0,0.0,0.0,28.08,15743.33,40.56
3461818,87653.33,173.0,1.0,91.25,3.0,52592.0,60.83,0.0,0.0,0.0,121.67,0.0,60.83
105460986,91603.33,80.0,1.0,52.14,6.0,45801.67,28.08,0.0,5.0,60.83,91.25,10724.0,0.0
13416013,86930.0,11.0,1.0,121.67,2.0,43465.0,73.0,0.0,3.0,91.25,91.25,0.0,33.18
24091222,96836.0,36.0,1.0,60.83,5.0,34584.29,24.33,0.0,10.0,33.18,73.0,17830.0,52.14
100545277,87686.67,14.0,1.0,36.5,9.0,41535.79,18.25,0.0,2.0,121.67,91.25,15501.5,73.0
1052326,82210.0,113.0,1.0,121.67,2.0,32884.0,60.83,0.0,0.0,0.0,121.67,0.0,121.67
16480886,85450.0,136.0,1.0,121.67,2.0,28483.33,52.14,0.0,3.0,91.25,182.5,14150.0,121.67
77050915,82010.0,140.0,1.0,121.67,2.0,41005.0,73.0,0.0,0.0,0.0,91.25,26980.0,52.14
101964626,90510.0,77.0,1.0,91.25,3.0,30170.0,36.5,0.0,0.0,0.0,121.67,0.0,0.0
4225173,78566.67,85.0,1.0,91.25,3.0,39283.33,52.14,0.0,5.0,60.83,91.25,15740.0,91.25
105300232,81190.0,133.0,1.0,73.0,4.0,32476.0,33.18,0.0,0.0,0.0,91.25,10698.0,91.25
