member_srl,dpo087,dpo090,cto089,dpo089,cto087,cto090,dpq087,dpq090,dpq089,aas089,gpd089,cto088,gpd087
533009,40.56,36.5,16.0,21.47,8.0,9.0,28.08,24.33,11.41,205990.0,562.81,4.0,209.48
1331283,40.56,33.18,18.0,19.21,8.0,10.0,40.56,20.28,11.77,261770.0,715.22,8.0,835.98
23404,33.18,28.08,14.0,24.33,10.0,12.0,24.33,16.59,3.29,451800.0,1234.43,2.0,682.81
1136900,40.56,24.33,12.0,28.08,8.0,14.0,22.81,11.77,10.14,267450.0,730.74,11.0,270.74
839926,40.56,22.81,20.0,17.38,8.0,15.0,36.5,15.87,10.43,492400.0,1345.36,0.0,300.93
60385,33.18,26.07,15.0,22.81,10.0,13.0,17.38,10.14,11.77,429600.0,1173.77,13.0,972.1
47118,30.42,33.18,12.0,28.08,11.0,10.0,20.28,15.87,11.41,198730.0,542.98,4.0,586.2
34250,30.42,36.5,12.0,28.08,11.0,9.0,13.52,28.08,7.02,635490.0,1736.31,5.0,1267.95
6766912,45.63,22.81,11.0,30.42,7.0,15.0,40.56,16.59,24.33,176920.0,483.39,6.0,554.75
601754,30.42,26.07,15.0,22.81,11.0,13.0,11.06,17.38,14.04,588572.0,1608.12,21.0,1642.65
280625,45.63,21.47,13.0,26.07,7.0,16.0,45.63,7.02,21.47,649910.0,1775.71,2.0,1155.19
1472869,36.5,20.28,10.0,33.18,9.0,17.0,24.33,11.06,15.21,165570.0,452.38,12.0,433.72
716258,30.42,24.33,19.0,18.25,11.0,14.0,14.6,15.21,16.59,383560.0,1047.98,11.0,725.38
3259234,33.18,19.21,13.0,26.07,10.0,18.0,21.47,9.61,4.68,250970.0,685.71,6.0,838.96
151621,30.42,28.08,10.0,33.18,11.0,12.0,15.87,14.04,24.33,208030.0,568.39,5.0,1014.67
1741363,45.63,24.33,9.0,36.5,7.0,14.0,18.25,5.07,12.17,129280.0,353.22,6.0,512.46
450066,30.42,20.28,14.0,24.33,11.0,17.0,28.08,13.52,19.21,168570.0,460.57,13.0,890.14
1938379,45.63,18.25,17.0,20.28,7.0,19.0,18.25,8.69,16.59,348190.0,951.34,4.0,542.7
26504006,40.56,16.59,18.0,19.21,8.0,21.0,17.38,12.17,10.14,328490.0,897.51,0.0,614.64
1200595,28.08,24.33,16.0,21.47,12.0,14.0,20.28,17.38,9.36,478810.0,1308.22,12.0,1052.95
1689082,40.56,17.38,11.0,30.42,8.0,20.0,40.56,10.14,14.04,217580.0,594.48,1.0,519.97
216905,28.08,40.56,10.0,33.18,12.0,8.0,17.38,28.08,9.86,186593.0,509.82,11.0,1292.08
484260,52.14,24.33,14.0,24.33,6.0,14.0,30.42,11.77,6.4,686260.0,1875.03,2.0,615.71
2056711,36.5,21.47,7.0,45.63,9.0,16.0,30.42,9.13,28.08,147380.0,402.68,0.0,266.86
575770,26.07,28.08,18.0,19.21,13.0,12.0,15.87,26.07,8.11,227500.0,621.58,5.0,708.33
333091,36.5,15.21,17.0,20.28,9.0,23.0,21.47,5.45,9.36,460130.0,1257.19,6.0,398.36
1730489,33.18,20.28,8.0,40.56,10.0,17.0,24.33,13.52,16.59,260060.0,710.55,5.0,631.37
688050,33.18,22.81,7.0,45.63,10.0,15.0,24.33,20.28,24.33,142400.0,389.07,11.0,568.39
480526,28.08,45.63,10.0,33.18,12.0,7.0,21.47,19.21,30.42,927865.0,2535.15,0.0,1478.66
267769,30.42,30.42,7.0,45.63,11.0,11.0,15.87,21.47,36.5,48620.0,132.84,0.0,392.38
320334,33.18,30.42,6.0,52.14,10.0,11.0,22.81,19.21,45.63,220600.0,602.73,3.0,696.28
1395119,26.07,24.33,13.0,26.07,13.0,14.0,20.28,11.41,11.77,188530.0,515.11,14.0,927.46
18897952,45.63,19.21,8.0,40.56,7.0,18.0,15.21,15.21,16.59,147620.0,403.33,4.0,370.49
763482,30.42,17.38,17.0,20.28,11.0,20.0,11.77,10.43,6.76,282510.0,771.89,11.0,570.74
290779,52.14,33.18,9.0,36.5,6.0,10.0,45.63,22.81,8.49,288460.0,788.14,4.0,411.34
250979,26.07,30.42,10.0,33.18,13.0,11.0,18.25,12.59,14.6,114690.0,313.36,9.0,836.56
939488,30.42,16.59,18.0,19.21,11.0,21.0,28.08,6.64,15.21,1031100.0,2817.21,7.0,924.26
7658056,36.5,17.38,8.0,40.56,9.0,20.0,20.28,3.8,10.74,271860.0,742.79,10.0,1098.96
8606700,33.18,15.21,14.0,24.33,10.0,23.0,15.87,8.9,15.21,187340.0,511.86,8.0,498.36
734746,45.63,30.42,28.0,12.59,7.0,11.0,33.18,28.08,6.52,269230.0,735.6,0.0,261.12
11718196,40.56,19.21,7.0,45.63,8.0,18.0,11.06,8.11,22.81,146190.0,399.43,15.0,702.46
1975800,45.63,20.28,7.0,45.63,7.0,17.0,19.21,8.69,19.21,174340.0,476.34,17.0,594.67
9887877,33.18,17.38,9.0,36.5,10.0,20.0,12.17,8.69,13.52,195490.0,534.13,17.0,655.71
1781711,26.07,21.47,15.0,22.81,13.0,16.0,13.52,14.04,6.08,332820.0,909.34,7.0,560.74
4487303,26.07,20.28,14.0,24.33,13.0,17.0,19.21,15.87,10.43,222050.0,606.69,11.0,565.52
5789141,40.56,15.87,24.0,14.6,8.0,22.0,30.42,7.77,4.24,582850.0,1592.49,5.0,399.51
16998620,40.56,14.6,14.0,24.33,8.0,24.0,5.45,1.37,6.19,481650.0,1315.98,9.0,778.14
805685,33.18,18.25,25.0,14.04,10.0,19.0,26.07,10.74,5.98,449090.0,1227.02,16.0,633.39
1810706,28.08,17.38,17.0,20.28,12.0,20.0,17.38,9.61,10.74,890988.0,2434.39,9.0,1374.7
2400453,30.42,18.25,9.0,36.5,11.0,19.0,15.87,10.14,14.6,183350.0,500.96,7.0,773.01
2001959,24.33,28.08,15.0,22.81,14.0,12.0,7.77,14.04,11.41,417320.0,1140.22,4.0,1137.95
11357967,26.07,19.21,15.0,22.81,13.0,18.0,17.38,14.6,10.74,323430.0,883.69,4.0,752.55
11173290,45.63,14.6,20.0,17.38,7.0,24.0,30.42,5.98,3.69,758120.0,2071.37,0.0,265.16
3218912,28.08,16.59,14.0,24.33,12.0,21.0,21.47,12.59,13.04,302730.0,827.13,16.0,544.92
63082252,33.18,14.04,18.0,19.21,10.0,25.0,22.81,8.3,10.14,266760.0,728.85,0.0,302.7
2246766,26.07,26.07,8.0,40.56,13.0,13.0,19.21,19.21,36.5,88580.0,242.02,15.0,502.08
95000,40.56,26.07,5.0,60.83,8.0,13.0,13.52,12.59,17.38,98000.0,267.76,15.0,455.71
6796882,30.42,15.87,10.0,33.18,11.0,22.0,17.38,12.17,21.47,162680.0,444.48,12.0,667.19
10429316,36.5,14.04,10.0,33.18,9.0,25.0,16.59,5.07,15.87,243320.0,664.81,5.0,933.01
92301,22.81,30.42,12.0,28.08,15.0,11.0,17.38,15.87,10.74,225580.0,616.34,35.0,1789.59
