feature,idx,sym,code,category,js_div,weight
dpo087,513,dpo,087,Pet - Cat Food,0.26205847636056173,0.19081691995946168
dpo090,516,dpo,090,Pet - Dog Supply,0.24256538706073788,0.14006813676682592
cto089,91,cto,089,Pet - Dog Food,0.24203288335722972,0.13884221494561047
dpo089,515,dpo,089,Pet - Dog Food,0.23600768287813262,0.1255245285487663
cto087,89,cto,087,Pet - Cat Food,0.2355117507644357,0.12447277123234328
cto090,92,cto,090,Pet - Dog Supply,0.229715422087651,0.11266386505200329
dpq087,619,dpq,087,Pet - Cat Food,0.18126972232179023,0.04368427302526172
dpq090,622,dpq,090,Pet - Dog Supply,0.17643758393870246,0.03920924170708902
dpq089,621,dpq,089,Pet - Dog Food,0.15965304866512986,0.026286508149926696
aas089,1787,aas,089,Pet - Dog Food,0.15161008349400268,0.021376489338662
gpd089,1045,gpd,089,Pet - Dog Food,0.1516100834940024,0.02137648933866184
cto088,90,cto,088,Pet - Cat Supply,0.11898379764361934,0.008109150116861499
gpd087,1043,gpd,087,Pet - Cat Food,0.11695250402811389,0.007569411818526333
